rtr_id,rtr_name,rtr_addr,rtr_price,rtr_type,rtr_longitude,rtr_latitude,geometry,district
10023,大盛日本料理,新蒲崗宁远街越秀广场G25-27号,$101-200,日本菜,114.20083500000001,22.331087,POINT (114.200835 22.331087),黄大仙区
100388,定安小馆茶餐厅,牛頭角定安街90-92号地下,$50以下,港式,114.220823,22.314576000000002,POINT (114.220823 22.314576),观塘区
100521,京都居食屋,大角咀大全街34号,$51-100,日本菜,114.166009,22.319289,POINT (114.166009 22.319289),油尖旺区
100584,天际轩,鑽石山牛池湾丰盛街51号天际会所峻弦38楼,$101-200,多国菜,114.206896,22.337995000000003,POINT (114.206896 22.337995),黄大仙区
100906,明发鸡煲之家,牛頭角联安街17号,$51-100,港式,114.14859799999999,22.496742,POINT (114.148598 22.496742),北区
10117,玛哈巴,尖沙咀诺士佛台12号耀邦大厦地下,$201-400,土耳其菜,114.17911399999998,22.298544,POINT (114.179114 22.298544),油尖旺区
10148,荣发粉面专家,紅磡必嘉街88号,$50以下,港式,114.189897,22.303539999999998,POINT (114.189897 22.30354),九龙城区
101818,金仔米线,長沙灣元州邨元州商场地下8号舖,$50以下,滇菜 (云南),0.0,0.0,POINT (0 0),None
101832,帕维亚意大利餐厅,九龍城打鼓岭道85号地下,$201-400,意大利菜,114.19632,22.327507999999998,POINT (114.19632 22.327508),九龙城区
102168,BRICK LANE Gallery,尖沙咀棉登径17-23号地下,$101-200,英国菜,114.17988400000002,22.294110999999997,POINT (114.179884 22.294111),油尖旺区
102224,友乐亭炉端烧居酒屋,美孚美孚新邨恒柏道2-8号地舖,$101-200,日本菜,114.14481,22.336159,POINT (114.14481 22.336159),深水埗区
102238,来多客,黃大仙环凤街40-44号A-B地舖,$50以下,港式,114.203309,22.34114,POINT (114.203309 22.34114),黄大仙区
102280,吉吉鱼蛋,美孚美孚新邨万事达商场地下78号舖,$50以下,港式,0.0,0.0,POINT (0 0),None
